CharacterId,CharacterName,Alias,Superpower,CharacterRole,actorId
49,Hope van Dyne,Wasp,Size Alteration,Hero,49
50,Darren Cross,Yellowjacket,Size Alteration,Villain,50
51,Hank Pym,NULL,NULL,Hero,51
52,T'Challa,Black Panther,Strength; Agility; Martial Arts,Hero,52
53,Peter Parker,Spider Man,Agility; Sensory,Hero,53
54,Helmut Zemo,NULL,NULL,Villain,54
55,Stephen Strange,Dr; Strange,Magic,Hero,55
56,Karl Mordo,NULL,Magic,Hero,56
57,Wong,NULL,Magic,Hero,57
58,Ancient One,NULL,Magic,Hero,58
59,Mantis,NULL,Mind Control,Hero,59
60,Ayesha,NULL,NULL,Villain,60
61,Taserface,NULL,NULL,Villain,61
62,Ego,NULL,Strength,Villain,62
63,Adrian Toomes,Vulture,Suit,Villain,63
64,Michelle Jones,NULL,NULL,Neutral,64
65,Aaron Davis,Prowler,NULL,Neutral,65
66,May Parker,NULL,NULL,Neutral,66
67,Ned,NULL,NULL,Hero,67
68,Hela,NULL,Magic,Villain,68
69,Grandmaster,NULL,NULL,Neutral,69
70,Valkryie,NULL,Weapon,Hero,70
71,Skurge,NULL,NULL,Villain,71
72,Erik Stevens,Killmonger,NULL,Villain,72
73,Nakia,NULL,NULL,Hero,73
74,Okoye,NULL,Weapon,Hero,74
75,Everett K; Ross,NULL ,NULL,Hero,75
76,W'Kabi,NULL,NULL,Anti-Hero,76
77,Shuri,NULL,Intelligence,Hero,77
78,M'Baku,Man Ape,Strength,Anti-Hero,78
79,Ulysses Klaue,Klaw,Technology,Villain,79
80,Eitri,NULL,NULL,Neutral,80
81,Melinda May,NULL,NULL,Hero,81
82,Grant Ward,Hive,Possession,Villian,82
83,"Daisy ""Skye"" Johnson",Quake,Earth,Hero,83
84,Jemma Simmons,NULL,Intelligence,Hero,84
85,Elena Rodriguez,Yo-Yo,Speed,Hero,85
86,Edwin Jarvis,NULL,NULL,Neutral,86
87,Black Bolt,NULL,Air,Hero,87
88,Medusa,NULL,Magic,Hero,88
89,Karnak,NULL,NULL,Hero,89
90,Gorgon,NULL,NULL,Hero,90
91,Crystal,NULL,Earth; Air; Fire; Water,Hero,91
92,Maximus,NULL,NULL,NULL,92
93,Matt Murdock,Daredevil,NULL,NULL,93
94,Karen Page,NULL,NULL,Neutral,94
95,Elden Henson,NULL,NULL,NULL,95
96,Jessica Jones,NULL,Strength; Flight,Hero,96
97,Luke Cage,NULL,Strength,Hero,97
98,Kilgrave,NULL,Mind control,Villain,98
99,Cornell Stokes,Cottonmouth,NULL,Villian,99
100,Misty Knight,NULL,NULL,Hero,100
101,Hernan Alvarez,Shades,NULL,Villian,101
102,Danny Rand ,Iron Fist,Martial Arts,Hero,102
103,Colleen Wing,NULL,NULL,Hero,103
104,Ward Meachum,NULL,NULL,Neutral,104
105,Frank Castle,Punisher,NULL,Anti-Hero,105
106,David Lieberman,Micro,NULL,Hero,106
107,Billy Russo,NULL,NULL,Neutral,107
108,Alex Wilder,NULL,Intelligence,Hero,108
109,Nico Minoru,NULL,NULL,Hero,109
110,Karolina Dean,NULL,Flight; Light,Hero,110
111,Gert Yorkes,NULL,Telepathy,Hero,111
112,Jonah,NULL,NULL,VIllain,112
113,Tandy Bowen,Dagger,Light,Hero,113
114,Tyrone Johnson,Cloak,Darkness,Hero,114
115,Melissa Bowen,NULL,NULL,Neutral,115
116,Trevor Slattery,The Mandarin,NULL,Neutral,133
117,Korg,NULL,Strength,Hero,128
118,Zuri,NULL,NULL,Hero,130
